Problem size,Base_HIP-direct_1024,Base_Seq-direct,RAJA_HIP-direct_1024,RAJA_HIP-funcptr_1024,RAJA_HIP-virtfunc_1024
91125,53.049,30.503,43.7518,46.6773,45.935
205379,81.0342,28.2635,70.0771,73.2531,71.0136
421875,131.186,28.801,111.083,119.378,115.585
884736,195.121,27.1852,160.986,174.266,165.913
1860867,305.984,26.9538,251.596,270.63,263.685
3796416,451.394,22.6057,364.717,407.436,388.323
5639752,546.885,14.3594,473.418,499.463,476.998
7762392,557.471,8.92213,495.627,528.494,513.647
11543176,719.735,8.25019,670.95,670.952,646.866
15438249,798.716,7.70923,748.537,736.716,712.972
19465109,861.82,7.3292,787.955,797.128,779.828
23393656,863.478,3.9391,807.196,801.537,783.349
