Problem size,Base_HIP-direct_1024,Base_Seq-direct,RAJA_HIP-direct_1024,RAJA_HIP-funcptr_1024,RAJA_HIP-virtfunc_1024
91125,0.0,0.0,0.0,0.0,0.0
205379,0.0,0.0,0.0,0.0,0.0
421875,0.0,0.0,0.0,0.0,0.0
884736,0.0,0.0,0.0,0.0,0.0
1860867,0.0,0.0,0.0,0.0,0.0
3796416,0.0,0.0,0.0,0.0,0.0
5639752,0.0,0.0,0.0,0.0,0.0
7762392,0.0,0.0,0.0,0.0,0.0
11543176,0.0,0.0,0.0,0.0,0.0
15438249,0.0,0.0,0.0,0.0,0.0
19465109,0.0,0.0,0.0,0.0,0.0
23393656,0.0,0.0,0.0,0.0,0.0
