Problem size,Base_HIP-blkatm_direct_256,Base_HIP-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_HIP-blkatm_direct_256,RAJA_HIP-blkatm_occgs_256,RAJA_HIP-blkdev_direct_256,RAJA_HIP-blkdev_direct_new_256,RAJA_HIP-blkdev_occgs_256,RAJA_HIP-blkdev_occgs_new_256
6250,0.59889,0.606802,1.24252,2.40431,0.614436,0.512244,0.514221,0.625253,0.352658,0.622879,0.348036
25000,1.53972,1.5426,1.2749,2.45253,0.615966,2.06295,2.06465,1.66529,1.0703,1.66655,1.06321
100000,2.86776,3.05366,1.26755,2.40869,0.61557,7.59675,7.7137,6.41757,2.3034,6.40299,2.30371
200000,4.22656,4.3503,1.26528,2.40622,0.615679,14.0159,14.2092,12.2768,2.83301,12.1731,2.82821
400000,3.70616,4.97273,1.26936,2.41169,0.615832,23.882,23.9147,22.6015,3.13637,22.7224,3.11675
800000,3.30631,9.46774,1.27074,2.4171,0.615924,31.8856,46.665,32.3273,3.23914,44.199,6.15777
1600000,2.93059,19.5156,1.26578,2.38666,0.615345,41.8183,88.7308,39.6132,3.29018,80.3859,12.1531
3200000,2.89119,41.1232,1.25623,2.31924,0.61393,49.5105,146.487,44.5489,3.28374,133.068,23.2031
6400000,2.90154,76.9726,1.25701,2.29845,0.613712,55.167,231.239,48.8176,3.26116,210.024,43.2192
9375000,2.87306,109.669,1.255,2.28275,0.613394,57.0132,270.833,49.9782,3.10041,257.118,60.958
12800000,2.60499,123.859,1.25472,2.28292,0.613316,55.8227,293.988,49.7044,3.18108,272.943,73.1521
18750000,2.58935,144.703,1.25686,2.30926,0.613792,56.7512,288.97,49.7276,3.11471,269.415,90.5263
25000000,2.58168,157.426,1.25716,2.31526,0.613845,56.3103,297.825,49.8818,2.89551,282.985,102.929
