Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_CONVECTION3DPA,Base_Seq,default,1377, PASSED     ,1.35042e-05,7.70152,13.9092,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_1-kernel-run-data.csv,Seq,Base_Seq-default,13.9092,7.70152
Apps_CONVECTION3DPA,Base_HIP,block_64,1377, PASSED     ,3.6214e-06,28.7189,51.8675,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64,203.569,112.498
Apps_CONVECTION3DPA,RAJA_HIP,block_64,1377, PASSED     ,3.70538e-06,28.068,50.692,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64,196.974,108.853
Apps_CONVECTION3DPA,Base_Seq,default,1404891, PASSED     ,0.0487508,2.17096,3.93096,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_1024-kernel-run-data.csv,Seq,Base_Seq-default,3.93096,2.17096
Apps_CONVECTION3DPA,Base_HIP,block_64,1404891, PASSED     ,8.0564e-05,1313.69,2378.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64,2366.62,1307.01
Apps_CONVECTION3DPA,RAJA_HIP,block_64,1404891, PASSED     ,8.1063e-05,1305.6,2364.06,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64,2364.06,1305.6
Apps_CONVECTION3DPA,Base_Seq,default,175608, PASSED     ,0.00187299,7.0633,12.7893,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_128-kernel-run-data.csv,Seq,Base_Seq-default,12.7893,7.0633
Apps_CONVECTION3DPA,Base_HIP,block_64,175608, PASSED     ,1.28408e-05,1030.27,1865.48,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64,1865.48,1030.27
Apps_CONVECTION3DPA,RAJA_HIP,block_64,175608, PASSED     ,1.30574e-05,1013.18,1834.54,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64,1834.54,1013.18
Apps_CONVECTION3DPA,Base_Seq,default,2057940, PASSED     ,0.0733744,2.1129,3.82584,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier2-SPX/CONVECTION3DPA_factor_1500-kernel-run-data.csv,Seq,Base_Seq-default,3.82584,2.1129
