Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-kernel_256,RAJA_HIP-launch_256
2496,127.705,6.25147,123.045,124.885
9792,217.5365,6.171535,208.738,224.47299999999998
38784,307.368,6.0916,294.431,324.061
77568,320.146,6.04761,333.83,372.297
154944,480.199,6.02887,417.029,477.611
309696,564.698,6.0219,490.998,565.114
619392,638.563,5.98058,534.613,631.91
1238784,656.516,5.98058,538.841,643.288
2477568,672.033,5.9714,551.617,657.633
3629184,682.933,5.9714,558.576,664.526
4954944,687.039,5.91045,558.576,675.018
7258176,687.864,5.906205,560.4825000000001,678.216
9677568,688.689,5.90196,558.576,681.414
