Problem size,Base_HIP-blkatm_direct_256,Base_HIP-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_HIP-blkatm_direct_256,RAJA_HIP-blkatm_occgs_256,RAJA_HIP-blkdev_direct_256,RAJA_HIP-blkdev_direct_new_256,RAJA_HIP-blkdev_occgs_256,RAJA_HIP-blkdev_occgs_new_256
6250,1.53972,1.5426,1.26755,2.40869,0.61557,2.06295,2.06465,1.66529,1.0703,1.66655,1.06321
25000,2.20374,2.29813,1.2664149999999998,2.4074549999999997,0.6156245,4.82985,4.889175,4.04143,1.68685,4.03477,1.6834600000000002
100000,2.86776,3.05366,1.26755,2.40869,0.615679,7.59675,7.7137,6.41757,2.3034,6.40299,2.30371
200000,3.30631,4.3503,1.26936,2.41169,0.615832,14.0159,14.2092,12.2768,2.83301,12.1731,2.82821
400000,3.30631,4.97273,1.26755,2.40869,0.615679,23.882,23.9147,22.6015,3.13637,22.7224,3.11675
800000,3.30631,9.46774,1.26578,2.40622,0.615679,31.8856,46.665,32.3273,3.23914,44.199,6.15777
1600000,2.93059,19.5156,1.26578,2.38666,0.615345,41.8183,88.7308,39.6132,3.26116,80.3859,12.1531
3200000,2.90154,41.1232,1.25701,2.31924,0.61393,49.5105,146.487,44.5489,3.26116,133.068,23.2031
6400000,2.89119,76.9726,1.25623,2.29845,0.613712,55.167,231.239,48.8176,3.26116,210.024,43.2192
9375000,2.87306,109.669,1.25623,2.29845,0.613712,55.8227,270.833,49.7044,3.18108,257.118,60.958
12800000,2.60499,123.859,1.25686,2.29845,0.613712,56.3103,288.97,49.7276,3.11471,269.415,73.1521
18750000,2.59717,134.281,1.25593,2.29609,0.613593,56.53075,291.47900000000004,49.8047,3.1075600000000003,271.179,81.8392
25000000,2.58935,144.703,1.25686,2.30926,0.613792,56.3103,293.988,49.7276,3.11471,272.943,90.5263
