Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-block_256
1849,154.834,8.26791,152.791
7744,356.2545,8.278425,389.8755
32400,557.675,8.28894,626.96
65025,1046.35,8.28894,1061.5
131044,1728.47,8.28894,1746.56
264196,2003.36,8.28088,1979.87
528529,2080.76,8.25887,2020.53
1060900,2177.17,8.20031,2165.8
2125764,2491.61,8.12587,2475.08
3115225,2491.61,8.1121,2475.08
4255969,2491.61,7.85359,2475.08
6235009,2344.92,7.690045,2347.13
8317456,2198.23,7.5265,2219.18
