Problem size,Base_HIP-block_64,Base_Seq-default,RAJA_HIP-block_64
27,16.7606,3.53728,23.1954
125,17.0519,3.57302,25.3459
512,16.9948,3.57408,30.1503
1000,18.3183,3.57013,32.4974
1728,19.161,3.56988,33.6319
3375,19.9581,3.5765,34.8353
6859,20.5383,3.56548,35.8919
13824,20.7291,3.55364,36.691
27000,20.8315,3.57103,36.9388
39304,20.7771,3.58022,37.2253
50653,20.7685,3.56953,37.2927
74088,20.8648,3.5611,37.3937
97336,20.8671,3.57512,37.4355
