Problem size,Base_HIP-block_25 (raw),Base_HIP-block_25 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_25 (raw),RAJA_HIP-block_25 (smoothed),Base_HIP-block_25 (raw B/W),Base_HIP-block_25 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_25 (raw B/W),RAJA_HIP-block_25 (smoothed B/W)
3200,62.7348,242.112,11.2571,11.2571,61.6721,240.801,29.3042,112.881,5.25832,5.25832,28.8078,112.269
12672,242.112,485.178,11.2927,11.21085,240.801,482.71950000000004,112.881,226.1255,5.26504,5.23036,112.269,224.979
50624,728.244,728.244,11.1062,11.172,724.638,724.638,339.37,339.37,5.17562,5.20566,337.689,337.689
101184,1000.83,1000.83,11.1646,11.172,994.815,994.815,466.361,466.361,5.2024,5.20566,463.558,463.558
202368,1231.45,1231.45,11.172,11.172,1219.98,1219.98,573.802,573.802,5.20566,5.20566,568.456,568.456
404736,1771.57,1771.57,11.2015,11.172,1774.57,1774.57,825.456,825.456,5.21928,5.20566,826.853,826.853
809536,2195.71,2195.71,11.2108,11.172,2217.75,2217.75,1023.07,1023.07,5.22359,5.20566,1033.34,1033.34
1619008,2529.48,2529.48,11.0919,11.0919,2546.38,2546.38,1178.58,1178.58,5.16814,5.16814,1186.46,1186.46
3237952,2639.1,2580.96,11.0749,11.0749,2619.83,2555.09,1229.66,1202.57,5.16021,5.16021,1220.68,1190.51
4743104,2683.36,2580.96,11.0587,11.0617,2599.51,2555.09,1250.28,1202.57,5.15267,5.15408,1211.21,1190.51
6475904,2580.96,2580.96,11.0617,11.0617,2555.09,2555.09,1202.57,1202.57,5.15408,5.15408,1190.51,1190.51
9486208,2496.96,2546.27,11.0297,11.0602,2490.55,2533.9750000000004,1163.42,1186.405,5.13914,5.1533750000000005,1160.44,1180.67
12648256,2511.58,2511.58,11.0629,11.0617,2512.86,2512.86,1170.24,1170.24,5.1546,5.15408,1170.83,1170.83
