Problem size,Base_HIP-blkatm_direct_256 (raw),Base_HIP-blkatm_direct_256 (smoothed),Base_HIP-blkatm_occgs_256 (raw),Base_HIP-blkatm_occgs_256 (smoothed),Base_Seq-cascade (raw),Base_Seq-cascade (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),Base_Seq-kahan (raw),Base_Seq-kahan (smoothed),RAJA_HIP-blkatm_direct_256 (raw),RAJA_HIP-blkatm_direct_256 (smoothed),RAJA_HIP-blkatm_occgs_256 (raw),RAJA_HIP-blkatm_occgs_256 (smoothed),RAJA_HIP-blkdev_direct_256 (raw),RAJA_HIP-blkdev_direct_256 (smoothed),RAJA_HIP-blkdev_direct_new_256 (raw),RAJA_HIP-blkdev_direct_new_256 (smoothed),RAJA_HIP-blkdev_occgs_256 (raw),RAJA_HIP-blkdev_occgs_256 (smoothed),RAJA_HIP-blkdev_occgs_new_256 (raw),RAJA_HIP-blkdev_occgs_new_256 (smoothed),Base_HIP-blkatm_direct_256 (raw B/W),Base_HIP-blkatm_direct_256 (smoothed B/W),Base_HIP-blkatm_occgs_256 (raw B/W),Base_HIP-blkatm_occgs_256 (smoothed B/W),Base_Seq-cascade (raw B/W),Base_Seq-cascade (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),Base_Seq-kahan (raw B/W),Base_Seq-kahan (smoothed B/W),RAJA_HIP-blkatm_direct_256 (raw B/W),RAJA_HIP-blkatm_direct_256 (smoothed B/W),RAJA_HIP-blkatm_occgs_256 (raw B/W),RAJA_HIP-blkatm_occgs_256 (smoothed B/W),RAJA_HIP-blkdev_direct_256 (raw B/W),RAJA_HIP-blkdev_direct_256 (smoothed B/W),RAJA_HIP-blkdev_direct_new_256 (raw B/W),RAJA_HIP-blkdev_direct_new_256 (smoothed B/W),RAJA_HIP-blkdev_occgs_256 (raw B/W),RAJA_HIP-blkdev_occgs_256 (smoothed B/W),RAJA_HIP-blkdev_occgs_new_256 (raw B/W),RAJA_HIP-blkdev_occgs_new_256 (smoothed B/W)
6250,0.59889,1.53972,0.606802,1.5426,1.24252,1.26755,2.40431,2.40869,0.614436,0.61557,0.512244,2.06295,0.514221,2.06465,0.625253,1.66529,0.352658,1.0703,0.622879,1.66655,0.348036,1.06321,4.46136,11.4713,4.5203,11.4928,9.25599,9.44387,17.9107,17.946,4.57718,4.58631,3.81591,15.3696,3.83063,15.3823,4.65775,12.4069,2.62709,7.97406,4.64007,12.4162,2.59265,7.92119
25000,1.53972,2.20374,1.5426,2.29813,1.2749,1.2664149999999998,2.45253,2.4074549999999997,0.615966,0.6156245,2.06295,4.82985,2.06465,4.889175,1.66529,4.04143,1.0703,1.68685,1.66655,4.03477,1.06321,1.6834600000000002,11.4713,16.418799999999997,11.4928,17.12205,9.4984,9.435459999999999,18.2721,17.9368,4.58912,4.5867249999999995,15.3696,35.9846,15.3823,36.426649999999995,12.4069,30.11055,7.97406,12.567779999999999,12.4162,30.060850000000002,7.92119,12.542494999999999
100000,2.86776,2.86776,3.05366,3.05366,1.26755,1.26755,2.40869,2.40869,0.61557,0.615679,7.59675,7.59675,7.7137,7.7137,6.41757,6.41757,2.3034,2.3034,6.40299,6.40299,2.30371,2.30371,21.3663,21.3663,22.7513,22.7513,9.44387,9.44387,17.946,17.946,4.58631,4.58714,56.5996,56.5996,57.471,57.471,47.8142,47.8142,17.1615,17.1615,47.7055,47.7055,17.1638,17.1638
200000,4.22656,3.30631,4.3503,4.3503,1.26528,1.26936,2.40622,2.41169,0.615679,0.615832,14.0159,14.0159,14.2092,14.2092,12.2768,12.2768,2.83301,2.83301,12.1731,12.1731,2.82821,2.82821,31.4902,24.6339,32.4121,32.4121,9.42705,9.45746,17.9276,17.9685,4.58714,4.58829,104.426,104.426,105.866,105.866,91.4688,91.4688,21.1074,21.1074,90.696,90.696,21.0717,21.0717
400000,3.70616,3.30631,4.97273,4.97273,1.26936,1.26755,2.41169,2.40869,0.615832,0.615679,23.882,23.882,23.9147,23.9147,22.6015,22.6015,3.13637,3.13637,22.7224,22.7224,3.11675,3.11675,27.613,24.6339,37.0496,37.0496,9.45746,9.44387,17.9685,17.946,4.58829,4.58714,177.934,177.934,178.178,178.178,168.394,168.394,23.3677,23.3677,169.295,169.295,23.2215,23.2215
800000,3.30631,3.30631,9.46774,9.46774,1.27074,1.26578,2.4171,2.40622,0.615924,0.615679,31.8856,31.8856,46.665,46.665,32.3273,32.3273,3.23914,3.23914,44.199,44.199,6.15777,6.15777,24.6339,24.6339,70.54,70.54,9.46773,9.43083,18.0088,17.9276,4.58898,4.58714,237.566,237.566,347.681,347.681,240.857,240.857,24.1335,24.1335,329.308,329.308,45.8789,45.8789
1600000,2.93059,2.93059,19.5156,19.5156,1.26578,1.26578,2.38666,2.38666,0.615345,0.615345,41.8183,41.8183,88.7308,88.7308,39.6132,39.6132,3.29018,3.26116,80.3859,80.3859,12.1531,12.1531,21.8346,21.8346,145.402,145.402,9.43083,9.43083,17.782,17.782,4.58467,4.58467,311.57,311.57,661.095,661.095,295.141,295.141,24.5137,24.2975,598.921,598.921,90.5478,90.5478
3200000,2.89119,2.90154,41.1232,41.1232,1.25623,1.25701,2.31924,2.31924,0.61393,0.61393,49.5105,49.5105,146.487,146.487,44.5489,44.5489,3.28374,3.26116,133.068,133.068,23.2031,23.2031,21.541,21.6182,306.391,306.391,9.35962,9.36547,17.2797,17.2797,4.57414,4.57414,368.882,368.882,1091.42,1091.42,331.915,331.915,24.4658,24.2975,991.432,991.432,172.877,172.877
6400000,2.90154,2.89119,76.9726,76.9726,1.25701,1.25623,2.29845,2.29845,0.613712,0.613712,55.167,55.167,231.239,231.239,48.8176,48.8176,3.26116,3.26116,210.024,210.024,43.2192,43.2192,21.6182,21.541,573.49,573.49,9.36547,9.35962,17.1248,17.1248,4.57251,4.57251,411.026,411.026,1722.86,1722.86,363.719,363.719,24.2975,24.2975,1564.8,1564.8,322.008,322.008
9375000,2.87306,2.87306,109.669,109.669,1.255,1.25623,2.28275,2.29845,0.613394,0.613712,57.0132,55.8227,270.833,270.833,49.9782,49.7044,3.10041,3.18108,257.118,257.118,60.958,60.958,21.406,21.406,817.096,817.096,9.35046,9.35962,17.0078,17.1248,4.57014,4.57251,424.781,415.911,2017.87,2017.87,372.367,370.326,23.0999,23.7009,1915.68,1915.68,454.172,454.172
