Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
160000,0.0,0.0,0.0,0.0,0.0,0.0,282.038,484.515,10.9259,10.5095,281.64,491.281
320000,0.0,0.0,0.0,0.0,0.0,0.0,484.515,627.2565,10.5095,10.486799999999999,491.281,631.3895
640000,0.0,0.0,0.0,0.0,0.0,0.0,769.998,769.998,10.4641,10.4641,771.498,771.498
1280000,0.0,0.0,0.0,0.0,0.0,0.0,1098.8,1098.8,10.3463,10.3463,1121.51,1121.51
2560000,0.0,0.0,0.0,0.0,0.0,0.0,1537.47,1537.47,9.57698,9.57698,1537.84,1537.84
5120000,0.0,0.0,0.0,0.0,0.0,0.0,2025.0,2025.0,9.33421,9.33421,2002.31,2002.31
7500000,0.0,0.0,0.0,0.0,0.0,0.0,2268.75,2268.75,9.21605,9.21605,2270.15,2270.15
10240000,0.0,0.0,0.0,0.0,0.0,0.0,2411.97,2411.97,9.14268,9.14268,2427.37,2427.37
15000000,0.0,0.0,0.0,0.0,0.0,0.0,2557.58,2557.58,9.06695,9.06695,2543.69,2543.69
20000000,0.0,0.0,0.0,0.0,0.0,0.0,2588.86,2577.57,9.03661,9.03661,2615.38,2577.97
25000000,0.0,0.0,0.0,0.0,0.0,0.0,2593.46,2583.215,9.01477,9.02569,2577.97,2578.4049999999997
30000000,0.0,0.0,0.0,0.0,0.0,0.0,2577.57,2588.86,9.00109,9.01477,2578.84,2578.84
