Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
27,16.7606,16.9948,3.53728,3.57302,23.1954,25.3459,0.361332,0.366381,0.0762581,0.0770286,0.500055,0.546417
125,17.0519,17.02335,3.57302,3.571575,25.3459,27.7481,0.367612,0.3669965,0.0770286,0.0769974,0.546417,0.5982050000000001
512,16.9948,17.0519,3.57408,3.57013,30.1503,30.1503,0.366381,0.367612,0.0770515,0.0769662,0.649993,0.649993
1000,18.3183,18.3183,3.57013,3.57302,32.4974,32.4974,0.394913,0.394913,0.0769662,0.0770286,0.700591,0.700591
1728,19.161,19.161,3.56988,3.57013,33.6319,33.6319,0.41308,0.41308,0.0769608,0.0769662,0.72505,0.72505
3375,19.9581,19.9581,3.5765,3.56988,34.8353,34.8353,0.430266,0.430266,0.0771036,0.0769608,0.750994,0.750994
6859,20.5383,20.5383,3.56548,3.56988,35.8919,35.8919,0.442773,0.442773,0.0768661,0.0769608,0.773771,0.773771
13824,20.7291,20.7291,3.55364,3.57103,36.691,36.691,0.446885,0.446885,0.0766108,0.0769857,0.790999,0.790999
27000,20.8315,20.7685,3.57103,3.56953,36.9388,36.9388,0.449095,0.447736,0.0769857,0.0769533,0.796342,0.796342
39304,20.7771,20.7771,3.58022,3.56953,37.2253,37.2253,0.447921,0.447921,0.0771837,0.0769533,0.802517,0.802517
50653,20.7685,20.8315,3.56953,3.57103,37.2927,37.2927,0.447736,0.449095,0.0769533,0.0769857,0.80397,0.80397
74088,20.8648,20.82095,3.5611,3.572325,37.3937,37.3432,0.449811,0.448866,0.0767716,0.07701355,0.806147,0.8050584999999999
97336,20.8671,20.8648,3.57512,3.56953,37.4355,37.3937,0.449862,0.449811,0.0770738,0.0769533,0.807049,0.806147
