Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
216,2.40771,15.411,4.83791,4.83791,2.99912,18.0402,7.57793,43.2409,15.2267,13.8755,9.43932,50.6178
1331,15.411,53.1929,4.94522,4.80405,18.0402,63.8466,43.2409,140.79145,13.8755,13.060500000000001,50.6178,168.9474
8000,90.9748,90.9748,4.54837,4.77019,109.653,109.653,238.342,238.342,11.9161,12.2455,287.277,287.277
17576,206.003,206.003,4.77019,4.77019,244.507,244.507,528.826,528.826,12.2455,12.0474,627.67,627.67
35937,420.435,420.435,4.73832,4.73832,487.086,487.086,1063.56,1063.56,11.9863,11.9863,1232.16,1232.16
79507,663.943,663.943,4.82424,4.73832,699.638,699.638,1658.04,1658.04,12.0474,11.9863,1747.18,1747.18
157464,818.182,805.027,4.60436,4.60436,829.536,827.737,2025.36,1977.85,11.3978,11.3978,2053.46,2033.64
328509,805.027,805.027,2.78153,2.78153,827.737,827.737,1977.85,1977.85,6.83387,6.83387,2033.64,2033.64
681472,937.771,809.14,1.97875,1.97875,950.518,827.737,2290.43,1977.85,4.83293,4.83293,2321.56,2033.64
1000000,784.035,805.027,1.763,1.88907,780.45,804.134,1910.0,1967.15,4.29488,4.59264,1901.27,1954.98
1404928,809.14,784.035,1.88907,1.88388,804.134,780.45,1967.15,1910.0,4.59264,4.57083,1954.98,1901.27
2048383,768.05,776.0425,1.88388,1.82645,764.498,772.474,1863.51,1886.755,4.57083,4.432855,1854.89,1878.08
2744000,708.65,768.05,1.76902,1.88388,711.109,764.498,1716.99,1863.51,4.28615,4.57083,1722.95,1854.89
