Problem size,Base_HIP-atomic_direct_256 (raw),Base_HIP-atomic_direct_256 (smoothed),Base_HIP-atomic_occgs_256 (raw),Base_HIP-atomic_occgs_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-atomic_direct_256 (raw),RAJA_HIP-atomic_direct_256 (smoothed),RAJA_HIP-atomic_occgs_256 (raw),RAJA_HIP-atomic_occgs_256 (smoothed),Base_HIP-atomic_direct_256 (raw B/W),Base_HIP-atomic_direct_256 (smoothed B/W),Base_HIP-atomic_occgs_256 (raw B/W),Base_HIP-atomic_occgs_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-atomic_direct_256 (raw B/W),RAJA_HIP-atomic_direct_256 (smoothed B/W),RAJA_HIP-atomic_occgs_256 (raw B/W),RAJA_HIP-atomic_occgs_256 (smoothed B/W)
6245,0.519487,2.13172,0.51601,2.13558,0.314624,0.309117,0.502346,1.99748,0.497004,2.00488,7.75335,31.7778,7.70146,31.8354,4.69577,4.60804,7.49752,29.7767,7.4178,29.887
24995,2.13172,5.374404999999999,2.13558,5.33478,0.309117,0.3087485,1.99748,5.129715,2.00488,5.104545,31.7778,80.09790000000001,31.8354,79.5072,4.60804,4.60186,29.7767,76.45085,29.887,76.0755
99995,8.61709,8.61709,8.53398,8.53398,0.30838,0.30838,8.26195,8.26195,8.20421,8.20421,128.418,128.418,127.179,127.179,4.59568,4.59568,123.125,123.125,122.264,122.264
199995,16.7516,16.7516,16.7853,16.7853,0.308044,0.308044,16.2446,16.2446,15.5979,15.5979,249.63,249.63,250.134,250.134,4.59044,4.59044,242.075,242.075,232.439,232.439
399995,32.6471,32.6471,33.4007,33.4007,0.307964,0.307964,30.9453,30.9453,29.5608,29.5608,486.492,486.492,497.721,497.721,4.58914,4.58914,461.132,461.132,440.501,440.501
799995,58.2522,58.2522,58.7675,58.7675,0.307912,0.307912,54.6576,54.6576,56.7401,56.7401,868.036,868.036,875.715,875.715,4.58831,4.58831,814.472,814.472,845.504,845.504
1599995,100.651,100.651,103.452,103.452,0.307731,0.307731,91.7972,91.7972,98.0251,98.0251,1499.82,1499.82,1541.56,1541.56,4.58558,4.58558,1367.89,1367.89,1460.7,1460.7
3199995,130.892,130.892,133.587,133.587,0.307295,0.307295,125.281,125.281,126.487,126.487,1950.45,1950.45,1990.61,1990.61,4.57907,4.57907,1866.84,1866.84,1884.81,1884.81
6399995,171.536,171.536,168.966,168.966,0.307179,0.307179,157.081,157.081,166.679,166.679,2556.08,2556.08,2517.79,2517.79,4.57733,4.57733,2340.7,2340.7,2483.72,2483.72
9374995,192.555,174.457,193.002,189.216,0.307111,0.307156,179.406,158.254,190.404,187.884,2869.3,2599.61,2875.96,2819.54,4.57632,4.57698,2673.36,2358.17,2837.25,2799.69
12799995,189.588,174.457,199.064,189.216,0.307156,0.307156,172.343,158.254,196.59,187.884,2825.08,2599.61,2966.29,2819.54,4.57698,4.57698,2568.11,2358.17,2929.42,2799.69
18749995,174.457,182.02249999999998,189.216,191.109,0.307111,0.3071335,158.254,165.2985,187.884,189.144,2599.61,2712.3450000000003,2819.54,2847.75,4.57631,4.57665,2358.17,2463.1400000000003,2799.69,2818.4700000000003
24999995,168.098,174.457,182.199,189.216,0.307197,0.307156,151.785,158.254,181.174,187.884,2504.85,2599.61,2714.98,2819.54,4.5776,4.57698,2261.77,2358.17,2699.7,2799.69
