Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
5376,146.136,72.4048,10.8039,80.5064,144.939,56.553
21312,215.21300000000002,135.06040000000002,10.802,153.2377,213.7575,115.638
85056,284.29,197.716,10.8001,225.969,282.576,174.723
169920,433.053,315.348,10.8001,388.416,432.295,302.85
339840,569.111,422.349,10.8001,434.108,567.55,306.778
679680,569.111,423.185,10.7966,442.559,567.55,307.082
1359360,569.111,425.694,10.7966,443.436,567.55,307.082
2718720,565.203,427.596,10.8709,443.436,558.09,302.85
5437248,551.6289999999999,429.0685,10.87935,444.2125,545.4575,291.43449999999996
7964736,538.055,430.541,10.8709,444.989,532.825,275.787
