Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-block_256
512,560.006,8.35478,776.939
3375,2446.5,8.35162,3238.42
17576,3908.01,8.36103,4082.7
35937,4131.92,8.36724,4701.17
79507,4346.65,8.35954,4462.53
166375,4380.49,8.37593,4388.43
343000,4527.7,8.37984,4595.03
704969,4676.26,8.37013,4732.87
1442897,4730.76,8.37049,4770.69
2146689,4736.46,8.36932,4780.67
