Problem size,Base_HIP-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
196608,12.8137,0.0879253,11.4439,5.25612
389120,18.08945,0.08792195,16.16155,5.4477899999999995
778240,23.3652,0.0879186,20.8792,5.63946
1556480,26.2855,0.0877564,27.2853,6.76388
3108864,33.0333,0.0875556,41.1283,7.3024
6213632,35.9133,0.0875556,42.5442,7.33737
9101312,36.5373,0.0874635,45.1167,7.48462
12423168,38.8189,0.0875556,48.8683,7.69642
18198528,39.1837,0.0876478,48.969849999999994,7.698345
24260608,39.5485,0.08774,49.0714,7.70027
