Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-block_256
1000,16.8863,1.3788,17.0095
5832,23.626649999999998,1.3678249999999998,24.00115
27000,30.367,1.35685,30.9928
54872,33.1336,1.34679,33.1735
117649,35.2651,1.34669,35.5144
238328,35.8999,1.34257,35.9665
493039,36.2331,1.34042,36.4398
1000000,36.5871,1.3266,36.5946
2048383,36.7806,1.32555,36.7825
2985984,36.9741,1.3245,36.9704
