Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
5376,39.8862,19.1842,10.7556,21.0554,39.5942,14.8918
21312,146.136,72.4048,11.0127,80.5064,144.939,56.553
85056,284.29,197.716,10.8039,225.969,282.576,174.723
169920,433.053,315.348,10.8001,388.416,432.295,306.778
339840,569.111,422.349,10.792,460.798,567.55,348.506
679680,586.668,423.185,10.7966,434.108,576.532,302.85
1359360,580.662,427.596,10.8878,442.559,581.807,307.082
2718720,565.203,434.945,10.7323,454.317,558.09,317.263
5437248,538.055,425.694,10.8709,443.436,531.766,275.619
7964736,538.024,430.541,10.9003,444.989,532.825,275.787
