Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
5376,12.19,5.86309,3.28712,6.43497,12.1008,4.55125
21312,44.5988,22.0971,3.36096,24.5696,44.2338,17.2593
85056,86.7307,60.3189,3.29603,68.9384,86.2078,53.3042
169920,132.107,96.2002,3.29467,118.49,131.876,93.5856
339840,173.608,128.838,3.29211,140.567,173.132,106.312
679680,178.961,129.091,3.29348,132.423,175.869,92.3834
1359360,177.128,130.436,3.32126,135.0,177.477,93.6736
2718720,172.411,132.677,3.27381,138.586,170.242,96.7789
5437248,164.129,129.855,3.3161,135.267,162.211,84.0754
7964736,164.12,131.333,3.32505,135.74,162.534,84.1268
