Problem size,Base_HIP-block_64,Base_Seq-default,RAJA_HIP-block_64
405,60.7029,6.47622,62.8621
1566,119.49495,6.22397,122.30955
6183,178.287,5.97172,181.757
12339,244.958,5.62009,242.58
24678,343.264,5.46811,341.959
49329,368.25,4.6109,390.553
98631,368.25,3.87975,390.553
197262,368.25,1.47934,390.553
394524,377.02750000000003,1.4439700000000002,390.43
577935,344.694,1.4086,354.82
