Problem size,Base_HIP-block_64,Base_Seq-default,RAJA_HIP-block_64
31104,82.2728,3.23414,88.68065
73728,100.518,3.11191,108.269
144000,146.182,2.46577,155.203
248832,189.847,2.2469,198.248
395136,196.428,2.22201,212.433
589824,229.037,2.21948,223.812
839808,229.037,2.12626,239.328
1152000,230.436,2.06935,240.512
1533312,229.037,2.01244,241.696
