Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-block_256
1000,60.8403,4.96773,61.284
5832,83.29665,4.846500000000001,84.6085
27000,105.753,4.72527,107.933
54872,114.164,4.64042,114.301
117649,120.424,4.59871,121.275
238328,121.164,4.54776,121.388
493039,122.931,4.53122,123.014
1000000,122.989,4.45236,123.632
2048383,123.3965,4.448755,123.3605
2985984,123.804,4.44515,123.707
