Problem size,Base_HIP-block_64,Base_Seq-default,RAJA_HIP-block_64
1728,0.300447,0.0511849,0.298721
5832,0.951003,0.0533866,0.948242
17576,1.46924,0.0538508,1.49487
39304,1.5415,0.0539456,1.5502
74088,1.72573,0.0538376,1.7118
140608,1.77869,0.0539579,1.79187
287496,1.79347,0.053867,1.75128
551368,1.81102,0.053863,1.86199
1124864,1.88875,0.0537387,1.89168
1643032,1.89481,0.0536954,1.89039
