Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
5376,44.5988,22.0971,3.29603,24.5696,44.2338,17.2593
21312,65.66475,41.208,3.29535,46.754000000000005,65.2208,35.28175
85056,86.7307,60.3189,3.29467,68.9384,86.2078,53.3042
169920,132.107,96.2002,3.29467,118.49,131.876,92.3834
339840,173.608,128.838,3.29467,132.423,173.132,93.5856
679680,173.608,129.091,3.29348,135.0,173.132,93.6736
1359360,173.608,129.855,3.29348,135.267,173.132,93.6736
2718720,172.411,130.436,3.3161,135.267,170.242,92.3834
5437248,168.26999999999998,130.8845,3.31868,135.5035,166.38799999999998,88.9002
7964736,164.129,131.333,3.3161,135.74,162.534,84.1268
