Problem size,Base_HIP-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
196608,6.22346,0.0801476,5.45503,2.92117
389120,11.6817,0.0804867,10.4329,5.14124
778240,21.3016,0.0801596,19.0351,4.79189
1556480,23.9642,0.0800066,24.8758,6.16656
3108864,33.3109,0.0796515,38.7873,6.68945
6213632,30.1164,0.0797404,37.4966,6.82371
9101312,32.7421,0.0798244,41.1328,6.65759
12423168,37.2449,0.0799925,44.7383,7.01683
18198528,35.3912,0.0796768,44.5533,7.02034
24260608,36.0564,0.0800482,45.6625,7.08426
