Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_CONVECTION3DPA-Base_HIP-block_64,21951.0,358.542,198.044
Apps_CONVECTION3DPA-Base_Seq-default,702.0,13.0552,7.24657
Apps_CONVECTION3DPA-RAJA_HIP-block_64,21951.0,350.353,193.521
Apps_DEL_DOT_VEC_2D-Base_HIP-block_256,32400.0,461.341,384.755
Apps_DEL_DOT_VEC_2D-Base_Seq-default,841.0,8.22518,7.12761
Apps_DEL_DOT_VEC_2D-RAJA_HIP-block_256,32400.0,464.451,387.348
Apps_INTSC_HEXHEX-Base_HIP-block_64,216.0,3.12671,0.0674069
Apps_INTSC_HEXHEX-Base_Seq-default,27.0,3.51739,0.0758293
Apps_INTSC_HEXHEX-RAJA_HIP-block_64,1000.0,5.84976,0.126111
Apps_LTIMES-Base_HIP-block_256,19392.0,109.457,152.356
Apps_LTIMES-Base_Seq-default,1344.0,6.18006,8.69785
Apps_LTIMES-RAJA_HIP-kernel_256,19392.0,92.6917,129.02
Apps_LTIMES-RAJA_HIP-launch_256,19392.0,109.559,152.498
Apps_MASS3DPA-Base_HIP-block_25,101184.0,404.545,188.507
Apps_MASS3DPA-Base_Seq-default,1600.0,11.1064,5.201
Apps_MASS3DPA-RAJA_HIP-block_25,101184.0,403.019,187.797
Apps_MATVEC_3D_STENCIL-Base_HIP-block_256,17576.0,172.721,443.39
Apps_MATVEC_3D_STENCIL-Base_Seq-default,64.0,4.36214,15.3687
Apps_MATVEC_3D_STENCIL-RAJA_HIP-block_256,17576.0,183.707,471.59
Basic_INDEXLIST_3LOOP-Base_HIP-block_256,80000.0,0.0,146.085
Basic_INDEXLIST_3LOOP-Base_Seq-default,80000.0,0.0,14.1788
Basic_INDEXLIST_3LOOP-RAJA_HIP-block_256,80000.0,0.0,143.168
Basic_MULTI_REDUCE-Base_HIP-atomic_direct_256,1599995.0,33.2328,495.21
Basic_MULTI_REDUCE-Base_HIP-atomic_occgs_256,1599995.0,33.4117,497.876
Basic_MULTI_REDUCE-Base_Seq-default,3120.0,0.319886,4.78196
Basic_MULTI_REDUCE-RAJA_HIP-atomic_direct_256,799995.0,25.9727,387.028
Basic_MULTI_REDUCE-RAJA_HIP-atomic_occgs_256,1599995.0,33.0008,491.753
Basic_REDUCE_STRUCT-Base_HIP-blkatm_direct_256,50000.0,0.949965,7.07765
Basic_REDUCE_STRUCT-Base_HIP-blkatm_occgs_256,4687500.0,37.9404,282.678
Basic_REDUCE_STRUCT-Base_Seq-cascade,3125.0,1.23615,9.20709
Basic_REDUCE_STRUCT-Base_Seq-default,3125.0,2.28624,17.0284
Basic_REDUCE_STRUCT-Base_Seq-kahan,3125.0,0.607103,4.52183
Basic_REDUCE_STRUCT-RAJA_HIP-blkatm_direct_256,800000.0,9.13983,68.097
Basic_REDUCE_STRUCT-RAJA_HIP-blkatm_occgs_256,1600000.0,48.9732,364.879
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_direct_256,800000.0,7.94678,59.208
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_direct_new_256,800000.0,5.64748,42.077
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_occgs_256,1600000.0,43.8298,326.557
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_occgs_new_256,3200000.0,47.4026,353.177
Comm_HALO_PACKING_FUSED-Base_HIP-direct_1024,42875.0,0.0,35.5465
Comm_HALO_PACKING_FUSED-Base_Seq-direct,42875.0,0.0,34.2866
Comm_HALO_PACKING_FUSED-RAJA_HIP-direct_1024,42875.0,0.0,28.3649
Comm_HALO_PACKING_FUSED-RAJA_HIP-funcptr_1024,42875.0,0.0,30.9433
Comm_HALO_PACKING_FUSED-RAJA_HIP-virtfunc_1024,42875.0,0.0,29.0926
