Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Basic_REDUCE_STRUCT-Base_Seq-default,3125.0,2.28624,17.0284
Basic_REDUCE_STRUCT-Base_Seq-kahan,3125.0,0.607103,4.52183
Basic_REDUCE_STRUCT-Base_Seq-cascade,3125.0,1.23615,9.20709
Basic_REDUCE_STRUCT-Base_HIP-blkatm_direct_256,50000.0,0.949965,7.07765
Basic_REDUCE_STRUCT-Base_HIP-blkatm_occgs_256,4687500.0,37.9404,282.678
Basic_REDUCE_STRUCT-RAJA_HIP-blkatm_direct_256,800000.0,9.13983,68.097
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_direct_256,800000.0,7.94678,59.208
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_direct_new_256,800000.0,5.64748,42.077
Basic_REDUCE_STRUCT-RAJA_HIP-blkatm_occgs_256,1600000.0,48.9732,364.879
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_occgs_256,1600000.0,43.8298,326.557
Basic_REDUCE_STRUCT-RAJA_HIP-blkdev_occgs_new_256,3200000.0,47.4026,353.177
