Problem size,Base_CUDA-block_256 (raw),Base_CUDA-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_256 (raw),RAJA_CUDA-block_256 (smoothed),Base_CUDA-block_256 (raw B/W),Base_CUDA-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_256 (raw B/W),RAJA_CUDA-block_256 (smoothed B/W)
512,80.6755,339.719,9.38302,9.38853,80.35,339.496,0.197104,0.802097,0.0229243,0.0221669,0.196309,0.801571
3375,339.719,740.1445,9.38853,9.385774999999999,339.496,741.7429999999999,0.802097,1.7229735,0.0221669,0.02197615,0.801571,1.7266705
17576,1140.57,1140.57,9.39835,9.38302,1143.99,1143.99,2.64385,2.64385,0.0217854,0.0217854,2.65177,2.65177
35937,1188.01,1188.01,9.34143,9.35348,1188.86,1188.86,2.7385,2.7385,0.021533,0.021533,2.74046,2.74046
79507,1442.95,1442.95,9.35348,9.35308,1435.95,1435.95,3.30983,3.30983,0.021455,0.021455,3.29378,3.29378
166375,1503.98,1503.98,9.34894,9.35308,1500.7,1500.7,3.43745,3.43745,0.0213676,0.0213676,3.42995,3.42995
343000,1565.47,1565.47,9.35308,9.35308,1559.59,1559.59,3.568,3.568,0.0213174,0.0213174,3.55459,3.55459
704969,1593.03,1593.03,9.36795,9.35308,1586.61,1586.61,3.6228,3.6228,0.0213042,0.0213042,3.60819,3.60819
1442897,1611.09,1611.09,9.32671,9.35308,1606.07,1606.07,3.65749,3.65749,0.0211735,0.0212504,3.64609,3.64609
2146689,1618.58,1614.835,9.36815,9.34943,1613.82,1609.945,3.67155,3.66452,0.0212504,0.02121195,3.66075,3.652475
4410944,1620.76,1618.58,9.33091,9.33091,1614.96,1613.82,3.67202,3.67155,0.0211402,0.0211735,3.65886,3.65886
