Problem size,Base_CUDA-block_64 (raw),Base_CUDA-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_64 (raw),RAJA_CUDA-block_64 (smoothed),Base_CUDA-block_64 (raw B/W),Base_CUDA-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_64 (raw B/W),RAJA_CUDA-block_64 (smoothed B/W)
405,18.0915,69.2993,13.1459,13.6146,19.2625,73.989,12.0974,46.2209,8.79032,9.0806,12.8804,49.3488
1566,69.2993,170.54665,13.6146,13.6106,73.989,179.01600000000002,46.2209,113.68995,9.0806,9.07441,49.3488,119.3364
6183,271.794,271.794,13.8113,13.6066,284.043,284.043,181.159,181.159,9.20569,9.06822,189.324,189.324
12339,514.567,514.567,13.6066,13.6066,534.463,534.463,342.937,342.937,9.06822,9.06822,356.197,356.197
24678,940.413,940.413,12.139,12.508,985.231,985.231,626.709,626.709,8.08964,8.33524,656.577,656.577
49329,1457.23,1457.23,11.7979,12.139,1587.84,1587.84,971.099,971.099,7.8621,8.08964,1058.14,1058.14
98631,2126.82,2126.82,12.508,11.7979,2058.54,2058.54,1417.29,1417.29,8.33524,7.8621,1371.79,1371.79
197262,2495.05,2435.93,10.7965,10.7965,2483.77,2483.77,1662.67,1623.27,7.19463,7.19463,1655.15,1655.15
394524,2435.93,2495.05,7.72949,7.72949,2506.66,2506.66,1623.27,1662.67,5.15081,5.15081,1670.4,1670.4
577935,2587.42,2541.235,7.57591,7.6527,2661.33,2583.995,1724.22,1693.4450000000002,5.04846,5.099635,1773.47,1721.935
1155843,2832.74,2587.42,7.25656,7.57591,2871.99,2661.33,1887.69,1724.22,4.83564,5.04846,1913.84,1773.47
