Problem size,Base_CUDA-block_256 (raw),Base_CUDA-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_256 (raw),RAJA_CUDA-block_256 (smoothed),Base_CUDA-block_256 (raw B/W),Base_CUDA-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_256 (raw B/W),RAJA_CUDA-block_256 (smoothed B/W)
512,37.4941,152.965,10.589,10.589,38.2069,159.37,16.812,66.2827,4.748,4.63757,17.1316,69.0584
3375,152.965,354.90000000000003,10.7024,10.5531,159.37,412.1235,66.2827,151.58535,4.63757,4.55589,69.0584,175.9547
17576,556.835,556.835,10.5172,10.5172,664.877,664.877,236.888,236.888,4.47421,4.47421,282.851,282.851
35937,1036.49,1036.49,10.4987,10.5172,1079.64,1079.64,438.487,438.487,4.4415,4.4415,456.743,456.743
79507,1903.39,1903.39,10.3709,10.5172,2003.83,2003.83,801.284,801.284,4.36589,4.4415,843.566,843.566
166375,2769.61,2769.61,10.5217,10.4987,3240.53,3240.53,1161.75,1161.75,4.4135,4.4135,1359.29,1359.29
343000,3407.7,3407.7,10.728,10.486,4652.4,4652.4,1425.42,1425.42,4.48746,4.37656,1946.07,1946.07
704969,4930.32,4567.41,10.486,10.486,5672.4,4770.74,2057.77,1902.98,4.37656,4.37656,2367.49,1987.7
1442897,4567.41,4669.88,9.76601,9.76601,4770.74,5023.79,1902.98,1944.11,4.06895,4.06895,1987.7,2091.45
2146689,4669.88,4784.225,9.64971,9.70786,5023.79,5172.46,1944.11,1990.475,4.01726,4.043105000000001,2091.45,2151.995
4410944,4898.57,4669.88,9.33941,9.64971,5321.13,5023.79,2036.84,1944.11,3.88335,4.01726,2212.54,2091.45
