Problem size,Base_CUDA-block_25 (raw),Base_CUDA-block_25 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_25 (raw),RAJA_CUDA-block_25 (smoothed),Base_CUDA-block_25 (raw B/W),Base_CUDA-block_25 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_25 (raw B/W),RAJA_CUDA-block_25 (smoothed B/W)
1600,32.6401,131.824,14.0527,14.9006,32.701,130.729,15.285,61.5,6.5807,6.95157,15.3135,60.989
6336,131.824,319.685,14.9006,14.97785,130.729,319.23650000000004,61.5,149.03,6.95157,6.984265000000001,60.989,148.82049999999998
25344,507.546,507.546,15.0551,14.9006,507.744,507.744,236.56,236.56,7.01696,6.95157,236.652,236.652
50624,906.382,906.382,15.0652,14.9006,907.206,907.206,422.384,422.384,7.02056,6.95157,422.768,422.768
101184,1431.49,1431.49,14.6598,14.7777,1433.42,1433.42,667.038,667.038,6.83109,6.88576,667.937,667.937
202368,2218.97,2218.97,14.7777,14.7395,2216.09,2216.09,1033.94,1033.94,6.88576,6.86773,1032.6,1032.6
404736,2727.06,2727.06,14.5497,14.6598,2713.09,2713.09,1270.66,1270.66,6.77938,6.83109,1264.16,1264.16
809536,3074.41,3074.41,14.7395,14.5497,3060.07,3060.07,1432.49,1432.49,6.86773,6.77938,1425.82,1425.82
1619008,3196.5,3196.5,13.9085,13.9085,3174.31,3174.31,1489.37,1489.37,6.4805,6.4805,1479.04,1479.04
2371584,3316.03,3256.2650000000003,12.5139,13.2112,3297.56,3235.935,1545.07,1517.2199999999998,5.83072,6.15561,1536.46,1507.75
4743104,3447.69,3316.03,12.2568,12.5139,3432.84,3297.56,1606.41,1545.07,5.71091,5.83072,1599.49,1536.46
