Problem size,Base_CUDA-block_256 (raw),Base_CUDA-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-kernel_256 (raw),RAJA_CUDA-kernel_256 (smoothed),RAJA_CUDA-launch_256 (raw),RAJA_CUDA-launch_256 (smoothed),Base_CUDA-block_256 (raw B/W),Base_CUDA-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-kernel_256 (raw B/W),RAJA_CUDA-kernel_256 (smoothed B/W),RAJA_CUDA-launch_256 (raw B/W),RAJA_CUDA-launch_256 (smoothed B/W)
1344,20.0297,73.568,5.10678,5.1042,19.6275,70.2153,19.5631,72.8381,28.1899,102.646,7.18731,7.10468,27.6239,97.9681,27.5332,101.627
4992,73.568,149.393,5.08973,5.10416,70.2153,141.97715,72.8381,145.44055,102.646,208.06650000000002,7.10145,7.103155,97.9681,197.73855,101.627,202.564
19392,225.218,225.218,5.1042,5.1042,213.739,213.739,218.043,218.043,313.487,313.487,7.10468,7.10468,297.509,297.509,303.501,303.501
38784,319.194,319.194,5.10412,5.10412,306.66,306.66,320.004,320.004,444.111,444.111,7.10163,7.10163,426.672,426.672,445.238,445.238
77568,455.913,455.913,5.11283,5.10412,446.16,446.16,443.945,443.945,634.204,634.204,7.11226,7.10163,620.637,620.637,617.555,617.555
154944,555.883,555.883,5.05354,5.05354,549.18,549.18,563.474,563.474,773.189,773.189,7.02907,7.02907,763.865,763.865,783.746,783.746
309696,642.991,642.991,5.02456,5.05354,636.478,636.478,657.487,657.487,894.303,894.303,6.9884,7.02907,885.243,885.243,914.464,914.464
619392,695.03,685.383,4.9375,5.02456,690.477,667.778,715.813,674.303,966.655,953.226,6.86713,6.9884,960.322,928.741,995.561,937.816
1238784,685.383,695.03,5.09983,4.9375,667.778,678.176,674.303,685.086,953.226,966.655,7.0928,6.86713,928.741,943.198,937.816,952.809
1814592,696.763,695.8965000000001,4.54707,4.742285,678.176,684.3265,685.086,691.9155000000001,969.049,967.852,6.32401,6.59557,943.198,951.76,952.809,962.3054999999999
3629184,710.295,696.763,4.48975,4.54707,691.252,678.176,698.745,685.086,987.865,969.049,6.24426,6.32401,961.381,943.198,971.802,952.809
