Problem size,Base_CUDA-block_256 (raw),Base_CUDA-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_256 (raw),RAJA_CUDA-block_256 (smoothed),Base_CUDA-block_256 (raw B/W),Base_CUDA-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_256 (raw B/W),RAJA_CUDA-block_256 (smoothed B/W)
64,1.03517,7.57386,5.01708,5.27123,1.24634,8.03078,3.64713,22.4171,17.6762,15.6634,4.39112,23.7695
512,7.57386,28.44948,5.29204,5.245785,8.03078,30.30984,22.4171,77.69455,15.6634,14.93685,23.7695,82.77024999999999
3375,49.3251,49.3251,5.27123,5.22034,52.5889,52.5889,132.972,132.972,14.2103,14.2103,141.771,141.771
8000,116.784,116.784,5.22034,5.22034,123.763,123.763,305.958,305.958,13.6766,13.6766,324.241,324.241
17576,251.866,251.866,4.84513,4.84513,268.187,268.187,646.562,646.562,12.4379,12.4379,688.457,688.457
35937,431.565,431.565,4.84351,4.84513,434.228,434.228,1091.71,1091.71,12.2524,12.4379,1098.45,1098.45
79507,774.039,774.039,4.82689,4.84513,751.847,751.847,1932.98,1932.98,12.054,12.4101,1877.56,1877.56
157464,1058.63,780.501,5.05904,5.05119,939.463,858.197,2620.58,1932.98,12.5233,12.3707,2325.58,2108.48
328509,837.387,837.387,5.05119,5.05119,858.197,904.162,2057.35,2057.35,12.4101,12.3707,2108.48,2213.75
493039,780.501,853.0274999999999,5.05256,5.051875,904.162,921.8125,1910.98,2086.765,12.3707,12.3904,2213.75,2269.665
1000000,868.668,837.387,5.00806,5.05119,992.449,904.162,2116.18,2057.35,12.2002,12.3707,2417.72,2213.75
