Problem size,Base_CUDA-block_256 (raw),Base_CUDA-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_256 (raw),RAJA_CUDA-block_256 (smoothed),Base_CUDA-block_256 (raw B/W),Base_CUDA-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_256 (raw B/W),RAJA_CUDA-block_256 (smoothed B/W)
841,16.3134,74.0756,10.3907,10.4793,16.2211,74.024,14.1366,62.6523,9.00417,8.87021,14.0566,62.6087
3844,74.0756,187.9438,10.4875,10.4834,74.024,189.181,62.6523,157.57965000000002,8.87021,8.821760000000001,62.6087,158.61435
15876,301.812,301.812,10.4793,10.4793,304.338,304.338,252.507,252.507,8.7674,8.77331,254.62,254.62
32400,584.269,584.269,10.5197,10.4875,581.203,581.203,487.276,487.276,8.77331,8.77331,484.718,484.718
65025,1046.67,1046.67,10.1739,10.4793,1058.41,1058.41,871.018,871.018,8.46653,8.7674,880.787,880.787
131044,1744.94,1744.94,10.7407,10.1873,1755.33,1755.33,1449.86,1449.86,8.92438,8.46653,1458.49,1458.49
264196,2752.57,2650.84,10.1873,10.1739,2752.84,2650.95,2284.61,2197.32,8.45538,8.45538,2284.84,2197.41
528529,3316.6,2752.57,9.82016,9.82016,3332.77,2752.84,2750.66,2284.61,8.14447,8.14447,2764.07,2284.84
1060900,2650.84,2790.09,8.96536,8.96536,2650.95,2792.87,2197.32,2312.22,7.43151,7.43151,2197.41,2314.53
1555009,2790.09,2875.73,8.63781,8.801585,2792.87,2878.88,2312.22,2382.81,7.15839,7.29495,2314.53,2385.42
3115225,2961.37,2790.09,8.62398,8.63781,2964.89,2792.87,2453.4,2312.22,7.14469,7.15839,2456.31,2314.53
