Problem size,Base_CUDA-atomic_direct_256 (raw),Base_CUDA-atomic_direct_256 (smoothed),Base_CUDA-atomic_occgs_256 (raw),Base_CUDA-atomic_occgs_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-atomic_direct_256 (raw),RAJA_CUDA-atomic_direct_256 (smoothed),RAJA_CUDA-atomic_occgs_256 (raw),RAJA_CUDA-atomic_occgs_256 (smoothed),Base_CUDA-atomic_direct_256 (raw B/W),Base_CUDA-atomic_direct_256 (smoothed B/W),Base_CUDA-atomic_occgs_256 (raw B/W),Base_CUDA-atomic_occgs_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-atomic_direct_256 (raw B/W),RAJA_CUDA-atomic_direct_256 (smoothed B/W),RAJA_CUDA-atomic_occgs_256 (raw B/W),RAJA_CUDA-atomic_occgs_256 (smoothed B/W)
99995,0.0844437,0.168376,0.0849038,0.168555,0.467413,0.466271,0.08231,0.164063,0.0805395,0.161374,1.25844,2.50913,1.26529,2.51178,6.96569,6.94815,1.22664,2.44485,1.20025,2.40478
199995,0.168376,0.2527835,0.168555,0.2533055,0.465023,0.4661365,0.164063,0.245373,0.161374,0.24142799999999998,2.50913,3.7669,2.51178,3.77467,6.92973,6.946105,2.44485,3.65646,2.40478,3.5976800000000004
399995,0.337191,0.337191,0.338056,0.338056,0.466271,0.466002,0.326683,0.326683,0.321482,0.321482,5.02467,5.02467,5.03756,5.03756,6.94815,6.94406,4.86807,4.86807,4.79058,4.79058
799995,0.674012,0.674012,0.675501,0.675501,0.466002,0.465023,0.655172,0.655172,0.643515,0.643515,10.0437,10.0437,10.0659,10.0659,6.94406,6.92973,9.76294,9.76294,9.58923,9.58923
1599995,1.35257,1.35257,1.34734,1.34734,0.454468,0.454468,1.31265,1.31265,1.28413,1.28413,20.155,20.155,20.0771,20.0771,6.77215,6.77215,19.5602,19.5602,19.1352,19.1352
3199995,2.79702,2.79702,2.69914,2.69914,0.428434,0.428434,2.74126,2.74126,2.67559,2.67559,41.679,41.679,40.2205,40.2205,6.38419,6.38419,40.8481,40.8481,39.8695,39.8695
4687495,4.08824,4.08824,3.9473,3.9473,0.406664,0.406664,4.01274,4.01274,3.92618,3.92618,60.9197,60.9197,58.8195,58.8195,6.05978,6.05978,59.7946,59.7946,58.5048,58.5048
9374995,8.20238,8.20238,7.89413,7.89413,0.395046,0.399946,8.02441,8.02441,7.7991,7.7991,122.225,122.225,117.632,117.632,5.88666,5.95966,119.573,119.573,116.216,116.216
12499995,10.9657,10.9657,10.5733,10.5733,0.399946,0.399946,10.9321,10.9321,10.4127,10.4127,163.402,163.402,157.554,157.554,5.95966,5.95966,162.901,162.901,155.161,155.161
15624995,13.9706,12.46815,13.2005,11.8869,0.395117,0.39753150000000004,13.729,12.330549999999999,12.9928,11.70275,208.178,185.79,196.703,177.1285,5.8877,5.92368,204.578,183.73950000000002,193.607,174.38400000000001
18749995,16.7769,13.9706,15.7094,13.2005,0.401372,0.399946,16.721,13.729,15.6462,12.9928,249.995,208.178,234.088,196.703,5.98091,5.95966,249.162,204.578,233.146,193.607
