Problem size,Base_CUDA-block_64 (raw),Base_CUDA-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_64 (raw),RAJA_CUDA-block_64 (smoothed),Base_CUDA-block_64 (raw B/W),Base_CUDA-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_64 (raw B/W),RAJA_CUDA-block_64 (smoothed B/W)
27,171.232,293.57,4.59175,4.62777,168.613,326.893,3.69148,6.3289,0.0989909,0.0997673,3.63502,7.04729
64,293.57,456.764,4.62777,4.6395,326.893,476.3115,6.3289,9.8471,0.0997673,0.10002015,7.04729,10.268495
216,619.958,619.958,4.65123,4.65123,625.73,625.73,13.3653,13.3653,0.100273,0.100273,13.4897,13.4897
512,853.911,853.911,4.66836,4.66559,841.732,841.732,18.409,18.409,0.100642,0.100583,18.1464,18.1464
1000,992.716,992.716,4.66559,4.66666,975.897,975.897,21.4014,21.4014,0.100583,0.100606,21.0388,21.0388
1728,1055.5,1055.5,4.66666,4.66836,1054.95,1054.95,22.7549,22.7549,0.100606,0.100642,22.7431,22.7431
3375,1114.2,1114.2,4.66949,4.66666,1110.39,1110.39,24.0204,24.0204,0.100667,0.100606,23.9383,23.9383
6859,1148.53,1148.53,4.66843,4.66666,1148.54,1148.54,24.7604,24.7604,0.100644,0.100606,24.7607,24.7607
13824,1166.1,1166.1,4.66566,4.66843,1165.1,1165.1,25.1391,25.1391,0.100584,0.100644,25.1178,25.1178
19683,1168.83,1167.465,4.66159,4.667045,1169.07,1167.085,25.1981,25.168599999999998,0.100496,0.10061400000000001,25.2033,25.16055
39304,1173.67,1168.83,4.67192,4.66566,1175.37,1169.07,25.3024,25.1981,0.100719,0.100584,25.3391,25.2033
