Problem size,Base_CUDA-block_64 (raw),Base_CUDA-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_64 (raw),RAJA_CUDA-block_64 (smoothed),Base_CUDA-block_64 (raw B/W),Base_CUDA-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_64 (raw B/W),RAJA_CUDA-block_64 (smoothed B/W)
702,23.566,92.2323,16.2141,17.3277,23.1867,90.981,13.0808,51.003,8.99998,9.58193,12.8703,50.311
2754,92.2323,223.13165,17.3277,17.4344,90.981,222.6775,51.003,123.2935,9.58193,9.635449999999999,50.311,123.042
10989,354.031,354.031,17.799,17.3277,354.374,354.374,195.584,195.584,9.833,9.58193,195.773,195.773
21951,638.578,638.578,17.5411,17.3277,638.979,638.979,352.724,352.724,9.68897,9.58193,352.946,352.946
43902,1051.88,1051.88,16.7287,17.0316,1066.92,1066.92,580.97,580.97,9.23949,9.40624,589.277,589.277
87804,1634.96,1634.96,15.571,16.7287,1533.0,1533.0,902.974,902.974,8.59976,9.23949,846.664,846.664
175608,2063.9,2063.9,17.0316,16.2136,2030.26,2030.26,1139.85,1139.85,9.40624,8.95436,1121.27,1121.27
351216,2353.16,2353.16,16.2136,15.571,2343.2,2343.2,1299.59,1299.59,8.95436,8.59976,1294.09,1294.09
702459,2484.81,2484.81,15.1397,15.1397,2413.24,2413.24,1372.29,1372.29,8.36122,8.36122,1332.77,1332.77
1028970,2588.29,2536.55,12.5957,13.8677,2514.33,2463.785,1429.44,1400.865,6.95626,7.65874,1388.59,1360.6799999999998
2057940,2738.0,2588.29,12.1975,12.5957,2661.73,2514.33,1512.12,1429.44,6.7363,6.95626,1470.0,1388.59
