Problem size,Base_CUDA-direct_1024 (raw),Base_CUDA-direct_1024 (smoothed),Base_Seq-direct (raw),Base_Seq-direct (smoothed),RAJA_CUDA-direct_1024 (raw),RAJA_CUDA-direct_1024 (smoothed),RAJA_CUDA-funcptr_1024 (raw),RAJA_CUDA-funcptr_1024 (smoothed),RAJA_CUDA-virtfunc_1024 (raw),RAJA_CUDA-virtfunc_1024 (smoothed),Base_CUDA-direct_1024 (raw B/W),Base_CUDA-direct_1024 (smoothed B/W),Base_Seq-direct (raw B/W),Base_Seq-direct (smoothed B/W),RAJA_CUDA-direct_1024 (raw B/W),RAJA_CUDA-direct_1024 (smoothed B/W),RAJA_CUDA-funcptr_1024 (raw B/W),RAJA_CUDA-funcptr_1024 (smoothed B/W),RAJA_CUDA-virtfunc_1024 (raw B/W),RAJA_CUDA-virtfunc_1024 (smoothed B/W)
42875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8679,38.7235,37.5249,35.4562,24.3736,35.0238,22.4841,32.7541,22.6106,32.4712
91125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7235,45.114900000000006,35.4562,30.61465,35.0238,37.6458,32.7541,38.2547,32.4712,37.9915
205379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5063,51.5063,25.7731,25.7731,40.2678,40.2678,43.7553,43.7553,43.5118,43.5118
421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5788,60.5788,19.5101,19.5101,58.8854,58.8854,55.7691,55.7691,55.5149,55.5149
884736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1177,73.5342,15.2354,15.2354,74.6275,74.6275,69.6403,69.6403,70.7258,70.7258
1860867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5342,78.1177,14.1839,14.1839,75.5354,75.5354,72.6788,72.6788,72.5391,72.5391
2744000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3422,83.5172,13.453,13.453,87.001,83.7469,82.5619,79.0234,82.1592,78.0234
5639752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.8245,83.8245,11.488,11.488,84.1051,84.1051,79.0234,79.2586,78.0234,78.8235
7645373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5172,83.9146,11.4005,11.4005,83.7469,84.1051,79.2586,79.2586,78.8235,78.8235
9528128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.1066,83.86955,10.815,11.10775,93.3876,83.92599999999999,87.1422,79.14099999999999,87.6568,78.64425
11543176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9146,83.9146,8.71324,10.815,83.4915,83.7469,78.9519,79.2586,78.465,78.8235
