Problem size,Base_CUDA-block_256 (raw),Base_CUDA-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_256 (raw),RAJA_CUDA-block_256 (smoothed),Base_CUDA-block_256 (raw B/W),Base_CUDA-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_256 (raw B/W),RAJA_CUDA-block_256 (smoothed B/W)
80000,0.0,0.0,0.0,0.0,0.0,0.0,185.245,345.609,6.21439,7.95189,182.04,346.669
160000,0.0,0.0,0.0,0.0,0.0,0.0,345.609,491.93449999999996,8.07202,7.968579999999999,346.669,487.7855
320000,0.0,0.0,0.0,0.0,0.0,0.0,638.26,638.26,7.95189,7.95189,628.902,628.902
640000,0.0,0.0,0.0,0.0,0.0,0.0,1113.95,1113.95,7.98527,7.95189,1109.59,1109.59
1280000,0.0,0.0,0.0,0.0,0.0,0.0,1798.43,1798.43,7.7401,7.7401,1793.54,1793.54
2560000,0.0,0.0,0.0,0.0,0.0,0.0,2126.15,2115.68,7.04253,7.04253,2115.35,2113.59
3750000,0.0,0.0,0.0,0.0,0.0,0.0,2188.95,2126.15,6.62487,6.62487,2192.44,2115.35
7500000,0.0,0.0,0.0,0.0,0.0,0.0,2115.68,2188.95,6.50583,6.59158,2113.59,2192.44
10000000,0.0,0.0,0.0,0.0,0.0,0.0,2191.86,2191.86,6.51347,6.56119,2192.79,2192.79
12500000,0.0,0.0,0.0,0.0,0.0,0.0,2239.48,2215.67,6.59158,6.53733,2238.9,2215.8450000000003
15000000,0.0,0.0,0.0,0.0,0.0,0.0,2265.99,2239.48,6.56119,6.56119,2261.96,2238.9
