Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
729,32.6825,11.9617,32.8379,8.79975
3375,168.251,51.115,169.044,40.9847
9261,432.406,83.6139,433.809,71.3183
19683,752.591,94.9988,748.026,91.5779
35937,1097.09,121.746,1097.19,117.376
68921,1504.92,131.031,1496.07,132.343
132651,1799.01,132.211,1796.67,136.092
250047,1922.51,121.02,1922.5,109.267
531441,2016.11,140.331,2015.81,147.082
753571,2110.95,139.217,2112.54,146.457
1442897,2120.15,130.636,2120.09,136.449
