Problem size,Base_CUDA-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-compile_time_block_stride_loop_64
196608,12.371,0.172475,17.4694,18.4941
389120,24.4534,0.173081,34.7305,36.4701
778240,48.3817,0.175105,68.6625,72.7492
1556480,86.5439,0.174902,99.2427,107.447
3108864,148.459,0.170552,138.621,150.044
6213632,164.056,0.16971,160.009,175.822
9101312,172.016,0.169502,164.882,181.224
18198528,199.437,0.169224,183.938,204.956
24260608,201.02,0.168307,183.852,205.09
30326784,202.545,0.170325,184.368,205.854
36392960,208.774,0.168625,189.723,195.678
