Problem size,Base_CUDA-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-compile_time_block_stride_loop_64
196608,26.8231,0.189853,38.096,40.0042
389120,39.94595,0.19084849999999998,56.70515,59.9006
778240,53.0688,0.189853,75.3143,79.797
1556480,94.9269,0.189853,108.856,117.855
3108864,162.839,0.187071,152.047,164.577
6213632,179.945,0.186147,175.507,192.851
9101312,188.677,0.185918,180.851,198.776
18198528,218.752,0.185918,201.658,224.806
24260608,220.49,0.185614,201.752,224.806
30326784,221.32600000000002,0.185285,201.9885,224.8795
36392960,222.162,0.184956,202.225,224.953
