Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
417,6.95764,20.0151,6.9625,18.2615
1667,17.30592,33.37375,17.1383,30.56375
6667,27.6542,46.7324,27.3141,42.866
13334,54.2837,105.408,54.4908,102.159
26667,105.689,154.507,105.636,146.732
53334,202.461,198.586,201.47,192.456
106667,364.674,210.057,365.433,203.581
213334,616.54,241.872,614.45,235.439
426667,721.791,241.872,723.369,235.439
625000,764.2595,242.1115,763.9425,236.8745
1250000,806.728,241.872,804.516,235.439
