Problem size,Base_CUDA-direct_64,Base_CUDA-runtime_block_stride_loop_64,Base_Seq-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-direct_64,RAJA_CUDA-runtime_block_stride_loop_64
5376,133.032,82.6628,13.0295,85.7661,136.71,86.0997
21312,327.4035,199.2609,13.2263,208.49005,341.67,209.29534999999998
85056,521.775,315.859,13.3154,331.214,546.63,332.491
169920,915.812,586.117,13.3154,611.976,956.187,613.788
339840,1410.14,997.613,13.4231,1024.74,1462.13,1024.86
679680,1863.74,1247.03,13.3868,1245.9,1828.99,1244.51
1359360,2232.74,1503.67,13.3154,1488.66,2206.04,1487.81
2718720,2391.14,1639.87,13.2606,1603.02,2375.81,1606.18
5437248,2486.35,1709.46,12.2797,1613.81,2456.97,1614.83
7964736,2516.31,1728.8200000000002,12.245149999999999,1630.78,2486.22,1631.56
15929280,2546.27,1748.18,12.2106,1647.75,2515.47,1648.29
