Problem size,Base_CUDA-block_256,Base_Seq-default,RAJA_CUDA-block_256
512,152.965,10.589,159.37
3375,354.90000000000003,10.5531,412.1235
17576,556.835,10.5172,664.877
35937,1036.49,10.5172,1079.64
79507,1903.39,10.5172,2003.83
166375,2769.61,10.4987,3240.53
343000,3407.7,10.486,4652.4
704969,4567.41,10.486,4770.74
1442897,4669.88,9.76601,5023.79
2146689,4784.225,9.70786,5172.46
4410944,4669.88,9.64971,5023.79
