Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_DIFFUSION3DPA,Base_Seq,default,405, PASSED     ,5.93228e-06,8.79032,13.1459,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DIFFUSION3DPA,Base_CUDA,block_64,405, PASSED     ,4.31058e-06,12.0974,18.0915,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,405, PASSED     ,4.04854e-06,12.8804,19.2625,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_DIFFUSION3DPA,Base_Seq,default,394524, PASSED     ,0.00982831,5.15081,7.72949,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DIFFUSION3DPA,Base_CUDA,block_64,394524, PASSED     ,3.11863e-05,1623.27,2435.93,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,394524, PASSED     ,3.03064e-05,1670.4,2506.66,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_DIFFUSION3DPA,Base_Seq,default,49329, PASSED     ,0.00080511,7.8621,11.7979,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_128-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DIFFUSION3DPA,Base_CUDA,block_64,49329, PASSED     ,6.51824e-06,971.099,1457.23,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_128-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,49329, PASSED     ,5.98208e-06,1058.14,1587.84,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_128-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_DIFFUSION3DPA,Base_Seq,default,577935, PASSED     ,0.0146893,5.04846,7.57591,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DIFFUSION3DPA,Base_CUDA,block_64,577935, PASSED     ,4.30098e-05,1724.22,2587.42,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,577935, PASSED     ,4.18154e-05,1773.47,2661.33,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_DIFFUSION3DPA,Base_Seq,default,6183, PASSED     ,8.62026e-05,9.20569,13.8113,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_16-kernel-run-data.csv,Seq,Base_Seq-default
