Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
1000,3.25781,0.652938,3.28998,0.563012
5832,18.2517,2.95283,18.5048,2.64579
27000,77.8557,2.39881,77.9763,1.92914
54872,123.493,4.44474,123.578,4.42698
117649,178.479,4.64423,179.281,4.62506
238328,211.835,4.72728,213.985,4.7135
493039,245.72,4.76925,245.899,4.78032
1000000,267.128,4.29192,267.499,4.44349
2048383,259.522,4.80986,260.405,4.8114
2985984,263.654,4.80517,264.256,4.81019
6028568,273.176,4.80454,273.456,4.64868
