Problem size,Base_CUDA-block_128,Base_OpenMP-default,RAJA_CUDA-block_128,RAJA_OpenMP-default
31104,19.74025,11.1616,13.13805,11.568349999999999
73728,24.4824,11.195,16.2503,11.8483
144000,34.8438,12.3039,23.6631,12.6134
248832,44.7501,12.4373,30.8513,12.6994
395136,46.2359,12.4373,36.2988,12.6994
589824,53.1328,12.4373,42.4732,12.6994
1152000,58.4897,11.6686,48.9,11.4114
1533312,61.8418,10.6931,52.2312,10.8201
1990656,63.81845,10.44015,53.6847,10.652899999999999
2530944,65.7951,10.1872,55.1382,10.4857
