Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_DIFFUSION3DPA,Base_Seq,default,1155843, PASSED     ,0.0306708,4.83564,7.25656,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_3000-kernel-run-data.csv,Seq,Base_Seq-default,7.57591,5.04846
Apps_DIFFUSION3DPA,Base_CUDA,block_64,1155843, PASSED     ,7.85685e-05,1887.69,2832.74,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_3000-kernel-run-data.csv,CUDA,Base_CUDA-block_64,2587.42,1724.22
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,1155843, PASSED     ,7.74947e-05,1913.84,2871.99,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_3000-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64,2661.33,1773.47
Apps_DIFFUSION3DPA,Base_Seq,default,12339, PASSED     ,0.000174617,9.06822,13.6066,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_32-kernel-run-data.csv,Seq,Base_Seq-default,13.6066,9.06822
Apps_DIFFUSION3DPA,Base_CUDA,block_64,12339, PASSED     ,4.61736e-06,342.937,514.567,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_32-kernel-run-data.csv,CUDA,Base_CUDA-block_64,514.567,342.937
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,12339, PASSED     ,4.44548e-06,356.197,534.463,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_32-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64,534.463,356.197
Apps_DIFFUSION3DPA,Base_Seq,default,1566, PASSED     ,2.21484e-05,9.0806,13.6146,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_4-kernel-run-data.csv,Seq,Base_Seq-default,13.6106,9.07441
Apps_DIFFUSION3DPA,Base_CUDA,block_64,1566, PASSED     ,4.3513e-06,46.2209,69.2993,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_4-kernel-run-data.csv,CUDA,Base_CUDA-block_64,170.54665,113.68995
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,1566, PASSED     ,4.0755e-06,49.3488,73.989,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_4-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64,179.01600000000002,119.3364
Apps_DIFFUSION3DPA,Base_Seq,default,197262, PASSED     ,0.00351817,7.19463,10.7965,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_512-kernel-run-data.csv,Seq,Base_Seq-default,10.7965,7.19463
Apps_DIFFUSION3DPA,Base_CUDA,block_64,197262, PASSED     ,1.52237e-05,1662.67,2495.05,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_512-kernel-run-data.csv,CUDA,Base_CUDA-block_64,2435.93,1623.27
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,197262, PASSED     ,1.52928e-05,1655.15,2483.77,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_512-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64,2483.77,1655.15
Apps_DIFFUSION3DPA,Base_Seq,default,24678, PASSED     ,0.000391458,8.08964,12.139,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_64-kernel-run-data.csv,Seq,Base_Seq-default,12.508,8.33524
Apps_DIFFUSION3DPA,Base_CUDA,block_64,24678, PASSED     ,5.05298e-06,626.709,940.413,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_64-kernel-run-data.csv,CUDA,Base_CUDA-block_64,940.413,626.709
Apps_DIFFUSION3DPA,RAJA_CUDA,block_64,24678, PASSED     ,4.82312e-06,656.577,985.231,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/DIFFUSION3DPA_factor_64-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64,985.231,656.577
Apps_EDGE3D,Base_Seq,default,512, PASSED     ,0.00199132,0.0229243,9.38302,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1-kernel-run-data.csv,Seq,Base_Seq-default,9.38853,0.0221669
Apps_EDGE3D,Base_CUDA,block_256,512, PASSED     ,0.000231602,0.197104,80.6755,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1-kernel-run-data.csv,CUDA,Base_CUDA-block_256,339.719,0.802097
Apps_EDGE3D,RAJA_CUDA,block_256,512, PASSED     ,0.00023254,0.196309,80.35,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,339.496,0.801571
Apps_EDGE3D,Base_Seq,default,1442897, PASSED     ,2.23003,0.0211735,9.32671,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_1024-kernel-run-data.csv,Seq,Base_Seq-default,9.35308,0.0212504
