Problem size,Base_CUDA-block_128,Base_Seq-default,RAJA_CUDA-block_128
31104,14.928049999999999,0.6055889999999999,10.06305
73728,24.5073,0.5725,16.3838
144000,34.1906,0.578163,23.3096
248832,44.7641,0.599649,30.9269
395136,46.0821,0.602929,36.1339
589824,53.0155,0.594489,42.4744
1152000,58.4488,0.566533,48.8716
1533312,61.8105,0.521593,52.502
1990656,65.9083,0.509787,55.1352
2530944,66.4358,0.498932,57.3794
