Problem size,Base_HIP-compile_time_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
196608,11.717,10.7275,4.8394
389120,17.1546,14.9825,4.994405
778240,22.5922,19.2375,5.14941
1556480,24.4268,25.1764,6.28118
3108864,29.6884,40.4318,6.4295
6213632,31.7338,40.5111,6.50306
9101312,33.4373,41.1393,6.56586
12423168,34.9078,44.8124,6.56586
18198528,35.2953,45.596999999999994,6.72868
24260608,35.6828,46.3816,6.8915
