Problem size,Base_HIP-block_64,RAJA_HIP-block_64
405,22.0983,25.2183
1566,83.6826,94.1436
6183,251.26,273.067
12339,347.919,366.794
24678,495.369,521.76
49329,559.634,595.991
98631,621.353,642.195
197262,658.899,688.16
394524,505.858,528.296
577935,484.713,501.916
