Problem size,Base_HIP-block_256,RAJA_HIP-block_256
512,637.307,687.267
3375,2624.7,2861.66
17576,3494.7,3649.04
35937,3804.95,3834.26
79507,3856.42,3827.66
166375,3835.77,3867.16
343000,3976.05,3982.76
704969,4059.31,4104.0
1442897,4109.69,4151.42
2146689,4121.24,4193.81
