Problem size,Base_HIP-compile_time_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
196608,12.8524,11.7671,5.30823
389120,18.81665,16.43415,5.47832
778240,24.7809,21.1012,5.64841
1556480,26.7929,27.6151,6.8896
3108864,32.5639,44.3479,7.05221
6213632,34.8073,44.4348,7.13291
9101312,36.676,45.1238,7.20178
12423168,38.2887,49.1526,7.20178
18198528,38.7137,50.013149999999996,7.38037
24260608,39.1387,50.8737,7.55896
