Problem size,Base_HIP-compile_time_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
196608,6.84356,6.03804,3.16737
389120,12.8524,11.7671,5.64841
778240,24.7809,21.1012,5.30823
1556480,26.7929,27.6151,6.8896
3108864,36.676,44.3479,7.84157
6213632,32.5639,45.1238,7.13291
9101312,34.8073,44.4348,7.05221
12423168,38.2887,49.1526,7.20178
18198528,39.1387,51.1945,7.55896
24260608,39.5124,50.8737,7.64129
