Problem size,Base_HIP-compile_time_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
8192,0.267749,0.231851,0.14766
24576,0.798103,0.703317,0.440529
98304,3.11257,2.76878,1.60432
196608,6.25312,5.50258,2.90207
389120,11.7084,10.6838,5.12075
778240,22.4952,19.406,4.7694
1556480,24.1501,25.0317,5.86568
3108864,33.1859,36.0184,6.69492
6213632,34.6377,39.7435,6.32086
9101312,37.4878,38.8195,6.5645
