Problem size,Base_HIP-block_64,RAJA_HIP-block_64
405,84.3139,94.9493
1566,168.85595,183.02515
6183,253.398,271.101
12339,348.541,364.698
24678,496.289,508.972
49329,542.91,569.757
98631,542.91,569.757
197262,542.91,569.757
394524,541.9135,566.046
577935,495.738,521.531
