Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Mean Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GB per sec.)
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,24678, PASSED     ,9.33624e-06,339.189,508.972,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_64,508.972,
Apps_EDGE3D,Base_HIP,block_256,512, PASSED     ,2.57792e-05,1.7708,637.307,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_256,2624.7,
Apps_EDGE3D,RAJA_HIP,block_256,512, PASSED     ,2.39052e-05,1.90961,687.267,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_256,2861.66,
Apps_EDGE3D,Base_HIP,block_256,1442897, PASSED     ,0.00445004,10.6106,4109.69,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_256,4084.5,
Apps_EDGE3D,RAJA_HIP,block_256,1442897, PASSED     ,0.00440531,10.7183,4151.42,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4127.71,
Apps_EDGE3D,Base_HIP,block_256,166375, PASSED     ,0.000600665,9.97038,3835.77,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_256,3856.42,
Apps_EDGE3D,RAJA_HIP,block_256,166375, PASSED     ,0.000595789,10.052,3867.16,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_256,3867.16,
Apps_EDGE3D,Base_HIP,block_256,2146689, PASSED     ,0.00653228,10.6318,4121.24,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256,4109.69,
Apps_EDGE3D,RAJA_HIP,block_256,2146689, PASSED     ,0.00641925,10.819,4193.81,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4151.42,
Apps_EDGE3D,Base_HIP,block_256,17576, PASSED     ,8.35776e-05,9.21276,3494.7,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_256,3494.7,
Apps_EDGE3D,RAJA_HIP,block_256,17576, PASSED     ,8.00425e-05,9.61964,3649.04,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_256,3649.04,
Apps_EDGE3D,Base_HIP,block_256,343000, PASSED     ,0.00115172,10.3061,3976.05,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/EDGE3D_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_256,3976.05,
