Problem size,Base_HIP-block_64,RAJA_HIP-block_64
31104,11.0281,12.35895
73728,18.2641,20.1998
144000,26.75,29.0893
248832,35.9821,38.013
395136,42.7271,45.4482
589824,43.6243,44.4846
839808,45.2512,48.9287
1152000,44.0279,47.2369
1533312,42.77,46.2969
