Problem size,Base_HIP-block_64,RAJA_HIP-block_64
729,40.1965,42.8577
3375,149.95,155.56
9261,296.292,310.514
19683,396.514,391.983
35937,431.533,430.775
68921,422.449,420.241
132651,433.408,426.369
250047,417.821,414.774
531441,387.372,390.074
753571,394.63,391.175
