Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
5376,45.3142,22.1357,24.0928,44.1065,17.4396
21312,66.22,41.15675,46.0338,65.37944999999999,35.697649999999996
85056,87.1258,60.1778,67.9748,86.6524,53.9557
169920,133.105,96.3942,117.086,131.624,94.01
339840,173.816,130.799,134.409,173.228,94.1104
679680,174.527,131.032,136.225,173.228,94.2548
1359360,174.527,131.396,136.225,173.228,94.2548
2718720,174.527,131.309,135.638,171.484,94.01
5437248,169.665,131.69150000000002,135.9315,167.4185,89.8874
7964736,164.803,132.074,135.638,163.353,85.52
