Problem size,Base_HIP-block_64,RAJA_HIP-block_64
729,19.5755,21.155
3375,72.8839,75.0755
9261,138.321,147.667
19683,189.351,195.091
35937,204.664,207.043
68921,211.624,206.665
132651,211.962,210.575
250047,200.581,198.237
531441,184.178,182.268
753571,185.341,186.324
