Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
5376,148.444,72.3824,78.4651,141.199,56.8299
21312,216.805,134.7972,150.83755000000002,211.4445,116.37095000000001
85056,285.166,197.212,223.21,281.69,175.912
169920,432.815,314.864,381.19,430.61,300.04
339840,568.593,417.985,427.761,565.762,304.612
679680,568.593,420.152,431.737,565.762,304.612
1359360,568.593,420.152,433.036,565.762,300.04
2718720,545.099,420.152,433.036,543.747,296.909
5437248,541.4245000000001,421.046,433.49300000000005,542.586,286.431
7964736,537.75,421.94,435.249,541.425,275.953
